P. B. Johnson and R. W. Christy. Optical constants of the noble metals, Phys. Rev. B 6, 4370-4379 (1972)
wl,n,k,eps_re,eps_im
0.1879,1.28,1.188,0.227056,3.04128
0.1916,1.32,1.203,0.295191,3.17592
0.1953,1.34,1.226,0.292524,3.28568
0.1993,1.33,1.251,0.203899,3.32766
0.2033,1.33,1.277,0.138171,3.39682
0.2073,1.3,1.304,-0.010416,3.3904
0.2119,1.3,1.35,-0.1325,3.51
0.2164,1.3,1.387,-0.233769,3.6062
0.2214,1.3,1.427,-0.346329,3.7102
0.2262,1.31,1.46,-0.4155,3.8252
0.2313,1.3,1.497,-0.551009,3.8922
0.2371,1.32,1.536,-0.616896,4.05504
0.2426,1.32,1.577,-0.744529,4.16328
0.249,1.33,1.631,-0.891261,4.33846
0.2551,1.33,1.688,-1.080444,4.49008
0.2616,1.35,1.749,-1.236501,4.7223
0.2689,1.38,1.803,-1.346409,4.97628
0.2761,1.43,1.847,-1.366509,5.28242
0.2844,1.47,1.869,-1.332261,5.49486
0.2924,1.49,1.878,-1.306784,5.59644
0.3009,1.53,1.889,-1.227421,5.78034
0.3107,1.53,1.893,-1.242549,5.79258
0.3204,1.54,1.898,-1.230804,5.84584
0.3315,1.48,1.883,-1.355289,5.57368
0.3425,1.48,1.871,-1.310241,5.53816
0.3542,1.5,1.866,-1.231956,5.598
0.3679,1.48,1.895,-1.400625,5.6092
0.3815,1.46,1.933,-1.604889,5.64436
0.3974,1.47,1.952,-1.649404,5.73888
0.4133,1.46,1.958,-1.702164,5.71736
0.4305,1.45,1.948,-1.692204,5.6492
0.4509,1.38,1.914,-1.758996,5.28264
0.4714,1.31,1.849,-1.702701,4.84438
0.4959,1.04,1.833,-2.278289,3.81264
0.5209,0.62,2.081,-3.946161,2.58044
0.5486,0.43,2.455,-5.842125,2.1113
0.5821,0.29,2.863,-8.112669,1.66054
0.6168,0.21,3.272,-10.661884,1.37424
0.6595,0.14,3.697,-13.648209,1.03516
0.7045,0.13,4.103,-16.817709,1.06678
0.756,0.14,4.542,-20.610164,1.27176
0.8211,0.16,5.083,-25.811289,1.62656
0.892,0.17,5.663,-32.040669,1.92542
0.984,0.22,6.35,-40.2741,2.794
1.088,0.27,7.15,-51.0496,3.861
1.216,0.35,8.145,-66.218525,5.7015
1.393,0.43,9.519,-90.426461,8.18634
1.61,0.56,11.21,-125.3505,12.5552
1.937,0.92,13.78,-189.042,25.3552
